INSEE_COM;NOM_COM;IRIS;CODE_IRIS;NOM_IRIS;TYP_IRIS;ISIU_Area_IRIS_Km2;ISIU_Indice_1_PopLog_per_Km2_Normalise;ISIU_Indice_2_Volume_Batiment_Normalise;ISIU_Indice_3_Green_Space_Ratio_Normalise;ISIU_Indice_4_Shannon_Diversity_Normalise;ISIU_Indice_5_Transport_Roads_Ratio_Normalise;ISIU_Indice_6Normalise;Dimension_1_Humaine;Dimension_2_Qualite_Vie;Dimension_3_Accessibilite;ISIU_Globale_Normalise
13209;Marseille 9e Arrondissement;704;132090704;La Jarre-Roy d'Espagne;A;0.442;0;0.034024468;0.057;0.801;0.005;0.079;0.034024468;0.858;0.084;0.433811
13209;Marseille 9e Arrondissement;101;132090101;Beauvallon-Seigneurie;H;0.537;0;0.028279674;0;0.674;0.005;0.075;0.028279674;0.674;0.08;0.343894302
13209;Marseille 9e Arrondissement;405;132090405;Mazargues Village;H;0.265;0;0.057399588;0;0.713;0.012;0.125;0.057399588;0.713;0.137;0.401962286
13209;Marseille 9e Arrondissement;406;132090406;Michelet-de Lattre;H;0.4;0;0.036656691;0.047;0.87;0.007;0.103;0.036656691;0.917;0.11;0.474480996
13209;Marseille 9e Arrondissement;407;132090407;Martheline-La Soude;H;0.164;0;0.047723753;0.041;0.669;0.007;0.106;0.047723753;0.71;0.113;0.38494108
13209;Marseille 9e Arrondissement;408;132090408;Lanciers-Cyclamens;H;0.124;0;0.049814459;0.054;0.842;0.013;0.115;0.049814459;0.896;0.128;0.479195203
13209;Marseille 9e Arrondissement;701;132090701;Bengale-Fontclair;H;0.559;0;0.035581561;0.025;0.826;0.006;0.094;0.035581561;0.851;0.1;0.438710533
13213;Marseille 13e Arrondissement;803;132130803;Le Clos;H;0.306;0;0.06498041;0.016;0.792;0.009;0.151;0.06498041;0.808;0.16;0.460244176
13213;Marseille 13e Arrondissement;804;132130804;Métro La Rose;H;0.458;0;0.037528697;0.134;0.964;0.006;0.151;0.037528697;1.098;0.157;0.580700186
13213;Marseille 13e Arrondissement;903;132130903;Saint-Jérôme Pélabon;H;0.402;0;0.040046007;0.014;0.806;0.006;0.169;0.040046007;0.82;0.175;0.461202817
